text,label
"Beberapa tahun lalu, ketika itu adalah sebuah kafe, ada sebuah penginapan dan penginapan hotel, bagi mereka yang bepergian dengan anak-anak, ada beberapa play-gound, mandi, flep, tiket gratis, dan stroberi yang membutuhkan pesan -- karena ada banyak orang di sini, banyak pilihan.",0
aku kecewa kalau internet bukan lagi cek aku membayar mahal,2
Ada lebih sedikit afdol daripada ketika Anda berada dalam jumlah besar atau Anda tidak datang ke sini.,0
"Kfc Bandg Supermall adalah bangunan besar, sedikit langka untuk menemukan dikfc lain.",0
"Makanan cepat saji adalah unik, mereka makan di tengah-tengah beras, mereka dikelilingi oleh kolam ikan dan warna air, menu mereka seperti makanan sunda lainnya, tapi ada hidangan favorit saya, jamur terbakar, lezat.",0
"Mie abu-abu, mie hitam, kelapa dan sayap ayamnya enak untuk dimakan di sini.",0
"Suara keadilan, suara keadilan, suara dari kasus, keheningan, kata-kata cabul, keberanian untuk pulang, keheningan, berarti tidak ada suara, tidak ada keraguan, tidak ada keraguan, tidak ada keraguan.",2
Yang harus kau lakukan adalah menghalangi orang-orang.,2
Singa berpura-pura menyelidiki penjualan Dr. Indonesia di situs online.,1
"Untuk merayakan ulang tahunnya di tempat ini, saya dan istri saya memilih tempat ini, makanan yang tidak sehat, makanan Barat ke barat ke tempat di mana ada pakaian hangat, dan sangat dingin di sini.",0
Sampai kapan aku tidak memilih seorang pengecut seperti panah?,2
"Jangan terlalu banyak iklan, perbaiki jaringanmu yang lambat.",2
"Jika thiong masuk ke insonia, jika mereka mengandalkan penduduk asli otak mereka.",2
"Jawaban cepat, pengiriman cepat dan ramah, dan setelah saya akhirnya berkeliling toko lain, saya bertemu dengan sebuah toko yang layanannya sangat memuaskan.",0
"Ini sedikit aneh, itu adalah gayamu.",2
"Beberapa tahun yang lalu, dengan teman-teman saya, suasananya sangat menyenangkan dengan pemandangan yang indah dan dingin yang menyenangkan.",0
"aku tidak mengerti siapa aku atau apa yg lain, pemenangnya adalah saudara yg lain selain kakak yg bernyanyi untuk jiwanya itu luar biasa.",0
Malam ini melelahkan.,2
Marah.,2
"Tidak, aku memilihsby, uh, memilih Prabowo Carie, dan yang di sebelah joki, seperti biasa.",2
"Karena puas dengan dinasnya, ia dengan ramah menghargai dinas dan selera, dan itu adalah pemandangan yang indah, yang cocok untuk acara bersama teman - teman dan keluarganya!",0
Ini adalah pertama kalinya aku makan steak di luar jagarta.,2
Ini adalah jaringan xl. Ini benar-benar buruk.,2
Aku puas dengan video game Legend.,0
"Dengan rekan-rekan saya, saya mencoba untuk makan siang secara sengaja dalam makan siang biasa carmila cab. buah-buahan jongle, untuk tempat di mana mereka mengatakan ""cozy"" dan itu cukup nyaman di lantai atas, sedangkan saya tidak berpikir ada lebih dari sekedar makanan cepat saji yang cukup penuh dengan makanan ringan. rasa ayam bakar di sini sangat disarankan dengan harga kantin.",0
ku rasa dia terlalu asin mereka selalu bagus untuk dijual ke orang miskin tapi itu bagus untuk teman-teman,0
"Sebagai warga negara, aku malu menjadi orang yang tidak bertanggung jawab.",2
"steak nya adalah juara, di mana mudah untuk mendapatkan akses ke penghinaan, nyaman, tema kuno, tidak ada penonton, layanan biasa,",0
"Ini restoran mewah yang sudah lama ada, dapur kepiting favoritnya.",0
"Orang-orang yang menuduh saya mencuri 30 persen uang, bisa Anda menangani bangsawan ini? dia mengambil komisi 20% untuk transaksi pelacuran agama. beraninya Anda, membawa wahyu ini? atau apakah Anda semua seberani Jonru?",2
Ada kelompok Kamal Kamil dengan karakter di alam semesta DC.,0
Suasana di kantor Dpc Kab. Bogor sebelum pidato awal 2018 oleh,1
"Jika dorum tidak cukup kuat, dia tidak baik.",2
Aku dan teman-temanku berhenti dan kami mencoba kue daging mereka.,2
"Tempat panda wangi sebenarnya agak jauh dari pusat kota Bandung, tapi masih terjangkau, sekitar 15 menit dari Asia Afrika.",0
"pertama kali saya datang ke eatalia, saya datang dengan seorang teman dan seorang anak saya tidak makan untuk anak-anak karena di sini, kami menyediakan menu dengan anak-anak kami memesan daging babi, pizza dengan roti hitam untuk semua menu yang saya pesan, saya tidak kecewa",0
"Tidak buruk, tidak terlalu buruk untuk tiga jenis model, selalu ada banyak pilihan.",0
"Ini adalah salah satu toko dan rekreasi di Champelas, restoran tidak mengecewakan, makanannya cukup beragam, dan untuk seleranya, restoran ini bisa melayaninya dengan cara yang menyenangkan dan menyenangkan, sempurna untuk bersenang-senang dengan pasangan atau keluarga.",0
"Di toko ini, selalu ada garis tembak online yang tidak tahu aplikasi gojek gocar gosend.",2
"Restoran ini juga ada di restoran Dago Street, tepat di sebelah Hotel Holiday inn, menurut judulnya, restoran ini menyediakan menu aceh.",0
"saus gorengnya enak dia bisa minta sedikit minyak makanan disini mengandung babi, jadi itu tidak sah",0
"lokasi tesnya tidak jelas telepon itu tidak di terima dalam e-mail, tidak ada rekomendasi",2
"Daging kambing dan kambingnya, dan makanannya juga sangat cepat, tempat itu cukup bersih.",0
"Bulan lalu, aku membayar dua kamar tidur, tapi kami tidak menemukan hotelnya.",2
"salmon-nya baik-baik saja, dia baik-baik saja, dia baik-baik saja, tanknya aman, dan itu sepadan, aku yakin dia sudah kembali.",0
Sudah lama sekali orang Cina makan makanan Cina.,2
"Ini adalah makanan terbaik di restoran pizza ini dengan seorang teman yang menghargai sensasi matahari terbenam, yang harganya sangat terjangkau bagi semua orang.",0
"Menurut laporan lokal, 2018, Ishran...",1
"Mengapa Anda mengambil perangkap dari proyek hukum, sementara itu jelas video YouTube yang diunduh oleh prov sendiri?",2
"Paket besar gim harus makan di sini, dia yakin itu keren!",0
"Di dekat gubernur, dekat jembatan, ada sebuah gang di dalamnya ada makanan yang sudah ada sejak zaman ibuku.",0
"Di tengah jalan Braga, tempat ini cukup bagus untuk nongkrong, ada musik langsung, bahkan makanan yang enak.",0
"Sebagai pengguna produk mereka yang setia, sangat kecewa dengan cara kerja orang - orang yang tidak jujur dan meremehkan pandangan pelanggan.",2
"Jika ini bukan pizza hat, tempat pizza di tempat ini sangat nyaman di mal atau di mal, berhadapan dengan jalan bebas, Anda hanya dapat membuat mata orang-orang biasa di sekitar Anda, itu adalah strategi untuk transportasi umum.",0
"Restoran ini hanya tentang konsep alam, kita makan dalam tas, dan sepanjang jalan kita menuju pemandangan yang indah suasana makanan cukup nyaman, layanan cepat, yaitu harga relatif tidak mahal untuk kelas.",0
"Ini membuat cabai, memasak cepat, tidak apa-apa, tidak apa-apa, tapi tidak apa-apa.",0
"Saya penasaran tentang tempat ini karena ada begitu banyak foto-foto kunjungan seniman di tempat ini, tapi karena saya memesan makanan terbaik di sini, saya tidak berpikir itu sebesar yang saya pikir adalah normal dan keras.",2
"Kanker, jalan ke muarajeun baru, hanya sebulan yang lalu, rusak lagi, bekerja seolah-olah itu tidak serius.",2
Jangan pernah kecewa akan apa yang Allah berikan kepadamu.,0
"Ada sesuatu yang saya suka dan tidak suka, tapi dengan menu ini adalah cabribi pada bahasa saya dan keluarga saya dan tempat ini juga menawarkan lapangan bermain untuk anak-anak harga makanan di restoran ini sedikit tinggi, tapi itu lezat.",0
"Tempat ini benar-benar normal, tidak ada yang istimewa bahkan menurut saya tempat ini kurang bernilai untuk evaluasi kali ini parkirnya tidak terlalu luas dan dekorasi ruang makan biasa",0
"Makan kaki kambing dan ayam besar untuk ukuran rata-rata, untuk seseorang, makan tanpa beras, dengan es lemon.",0
Bukti bahwa matahari adalah gudang mode dan makanan tidak dapat menjelaskan seberapa baik hidangannya.,0
"Sebenarnya, ada banyak kualitas yang baik, sering kali itu yang kita lihat.",0
"Saya melihat ini adalah perkelahian dengan Mrhnw dari Pks, hanya karena Demiz tidak disalahpahami, mengabaikan bacaannya.",2
"Saat makan siang di sini, terjadilah bahwa selama 17 liburan panjang kemerdekaan, dibutuhkan lebih dari 40 menit untuk menunggu. sistem pesan pertama ketika pesanan tidak diizinkan, sementara itu dapat menghemat waktu.",0
"Dia tidak mengerti, dia tidak memiliki teks, dia jelek, itu layak untuk dimasukkan ke layar besar.",2
"Chacha adalah makanan terbaik yang pernah ada, dan ini adalah makanan terbaik yang pernah ada.",0
"Itu monyet di bawah gua, namanya pengecut tanpa nama dengan simbol, dia hanya bisa mengatakan bahwa orang-orang masih hidup.",2
Kami sudah muak dengan janji-janjimu.,2
"Ini adalah tempat yang tepat untuk bersantai dengan keluarga, jasa, makanan yang enak, dan pemandangannya.",0
Jangan bodoh.,2
Ini pizza terbaik yang pernah kulihat.,0
Sulit untuk memahami seseorang yang selalu benar.,2
"Karena itu tidak romantis, dingin, tenang dengan makanan yang baik sambil menikmati keindahan kota Bandung.",0
Naha mulai bekerja di India bulan depan.,1
"Dia bilang dia suka membalikkannya, bahwa dia gila karena percaya padanya.",2
"aku datang dengan pasangan untuk liburan tempat ini sangat nyaman, sangat menarik makanan tidak terlalu mahal, tapi itu membuatku iri",0
"Sangat baik untuk dipaksa untuk mencoba ayam panggang, dan itu layak untuk makan dengan keluarganya tercinta.",0
"Orang-orang belum panik selama hampir empat tahun di kibulin, dan istana itu, yang panik, tidak berjalan di atas botol, kecuali penduduk kolam itu masih senang menipu Haphap haap.",2
"Orang-orang di perbatasan dapat merasakan buah dari konstruksi kita, yang telah menunggu 72 tahun setelah kebebasan mereka, dan sekarang 73 tahun. terima kasih, Mr Jockowi, sejak awal, saya tidak pernah membenci Mr Jowi.",0
"Itu berada di zona ciuman, sedikit terisolasi, tapi kopi ini sudah lama ada di sana, hanya ada satu taman sihir yang menjadi tempat makan terbuka di taman. sederhana dan kesepian, bagi mereka yang ingin tinggal di sebuah kafe tanpa suara.",0
Untuk menjadi marah terhadap ketidakberdayaan.,2
"Desa bareto terletak di dataran tinggi Gangeg Utara, menyediakan makanan yang tidak enak dan makanan Barat dengan tas makan dan meja. juga dapat digunakan untuk reuni keluarga, bangsawan, dan makan malam dengan banyak teman. setiap minggu tersedia musik langsung. ada juga kolam ikan untuk memancing harga makanan di bawah 100 mil.",0
Para pencuri dan pemimpin tentara ada di belakangnya ayo pergi orang miskin yang telah dibantu oleh pajak beruang lagi sangat elegan,2
"Senang sekali bisa makan ayam Mama Tris, banyak menu yang tersedia, tapi pada saat itu saya hanya mencoba makan salad, benar-benar enak dan romantis untuk makan dengan kursi musik.",0
"Pertama kali aku makan di sini secara tidak sengaja, karena aku melihat ekor seseorang di luar restoran.",0
"Nasi goreng enak, yang lain enak, jus enak untuk keluarga.",0
"Jika kita berpikir bahwa ini adalah restoran rekomendasi di barung dari awal, pelayanannya baik-baik saja.",0
"Gubernur tak punya ukuran, keluarkan dia dari Gubernur.",2
"Itu benar, itu namanya, restoran ke-18 dan Lounge, sangat nyaman.",0
"Ini adalah makan siang yang enak menu dengan sistem prasmanan enak dengan dapur, makanan enak untuk memasak, juga cara untuk menikmatinya dengan makan langsung dengan daun pisang.",0
"Tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa, tidak apa-apa.",0
"Seorang teman mengajak saya keluar sore ini, tempat parkirnya tidak lebih dari lima mobil, jadi itu sulit dan cukup lama untuk menemukan tempat parkir.",0
Makanannya enak dan beragam makanan cukup besar buka sampai malam ini dan sempurna untuk mencari makanan di malam hari,0
"Rasa mual otomatis, mie basah, murpion pecah.",2
Djarot lebih tinggi dari real estate sementara.,1
Kami tidak makan jeruknya dan mengembalikannya.,2
Pergolakan yang terjadi pada akhir debat kedua tahun 14 Mei 2018 menimbulkan perbedaan antara para peserta.,1
Yanmiennya yang manis terlihat seperti mi nassijan yang asli yang tidak ada lagi karena jumlahnya sudah mati nasi gorengnya juga merupakan rekomendasi.,0
"Semakin banyak kau berbicara tentang kualitasmu, semakin banyak orang menghargai kebesaranmu.",0
"Paketnya murah, dan itu sepadan, dan aku butuh sinyal yang tepat, jadi aku bisa menyiarkannya tanpa henti, bahkan jika supnya turun, tapi itu bisa tetap internet, tidak perlu khawatir, tidak perlu tanda kuota, tidak ada penyesalan.",0
"Ketika saya makan di sana, bagian dalam tidak baik, tempat parkir itu sulit, makanan sangat lembut, termasuk sayuran.",2
"Menurutsby, orang yang terpilih dari Pykada bukanlah partai politik.",1
"Untuk orang-orang yang suka menikmati escargot, dia harus tahu restoran ini sejak aku kecil, orang tua saya sering membawa saya untuk menikmati sate ini, ukuran dan karakteristik nya selalu memaksa saya untuk kembali ke restoran ini, dan untuk orang-orang yang belum pernah mencoba, saya merekomendasikan restoran ini!",0
"Ini nyaman, tapi aku memesan nasi goreng, dan tak apa-apa.",0
Maaf aku membeli surat kabar pertama karena isi fotobooka-nya.,2
Aku tak suka dia masih menjadi presiden.,2
"Apakah Anda percaya bahwa masyarakat indisia dengan kepala polisi yang mulia ini, yang kata itu telah bertemu dengan manajernya, akan membantu Anda menemukannya di bawah sana?",2
Yang pertama dianggap sebagai pembawa hoki di bungakada jawawawa.,1
"Tidak ada salahnya memesan jus stroberi, beras liwet, sup keledai, cek dari villa mereka, bagi mereka yang ingin bersenang-senang sepanjang hari di kolam renang dengan buku atau ipad.",0
"Bahkan jika saya datang dari minggu baru, tetapi ketika kita berbicara tentang dapur ladang, itu lebih baik daripada dapur di Jakarta, kebanyakan makanan padang rumput di sini telah diubah dengan bahasa rakyat di sini, jadi, meskipun dekat kantor ada restoran yang cukup baik, ia tidak selalu puas dengan rasa alami padang rumput.",2
"Aku berbicara tentang final tim gubernur, mantan presiden tim konsonansi, kata sandi, dia bilang dia akan pergi ke balai kota, untuk membahas akhir tim gubernur Anneswedan.",1
Orang-orang tidak memiliki kualitas sampai kampanye negatif diatur.,2
"Desa daun memiliki suasana yang nyaman, seperti di pegunungan, makan siang, atau makan malam, di desa daun ini sangat romantis, dengan grogi air, iklim hijau, iklim dingin, dengan makanan khas sunda Indonesia, dan sudah ada makanan luar seperti steak, yang ingin mencicipi menu khusus seperti Timbel dan sunda sangat cocok di sini.",0
Jockowi tidak suka berbohong.,0
"Cinta adalah hal yang sama seperti produk dari negara yang keren, membosankan, kualitas, dan terjangkau.",0
"Saya pikir Black-Blake keren, bahwa kita dapat menggunakannya untuk olahraga dan kegiatan lainnya, oke?",0
"Terima kasih atas jasanya, aku sangat senang, jasanya sangat baik dan ramah, teman-temannya juga keren, menyenangkan.",0
"Orang kafir lebih baik dalam bom, dan keberadaannya sedang runtuh dan menyakiti orang-orang.",2
"Aku tidak mencoba kopinya kemarin, kami memesan gaulash, salmon steak, steaknya enak.",0
"Restoran ini terletak di daerah inkubasi, menyediakan berbagai macam roti panggang, baik kecil maupun besar, pisang bakar, dan ayam goreng, ayam kota ini sangat lezat dan menggoda, dan itu layak dicoba!",0
"steak yang menghabiskan puluhan tahun di klub ini sangat terkenal dari waktu saya ke setiap kelompok, dan jika Anda ingin steak, ia harus menyelinap di sini.",0
"Masih di lingkungan loyalibudi, yang banyak restoran, kopi, dan sebagainya. harga yang sangat murah dan terjangkau. terutama bagi anak-anak muda.",0
"itu sangat bagus, sekarang itu benar-benar normal mungkin karena aku tidak berubah pikiran ketika tempat ini masih mempertahankan tradisinya pelayanan dan restorannya masih sama seperti dulu tapi mereka bisa terus berkembang agar tidak ketinggalan jaman",2
"Jika kau masih pergi ke Lomie Karuhun, lokasi strategisnya di pinggir jalan, tak apa-apa, kulitnya tebal, jangan lupa pakai Sambail dan jeruk, harganya tidak terlalu mahal.",0
"Restoran ini memiliki resepsi yang sangat bagus, tapi perbaikan meja adalah rumah bordil yang nyata ini bukan kopi atau krim untuk harga standar atau bahkan rasa standar.",0
"Ini adalah salah satu mie yang paling terkenal di bandge dan temanya tidak banyak berubah sampai hari ini, dengan bangunan tua seperti rumah biasa aku suka mie asin, mie manisnya dan sepertinya dia ada di rumah.",0
Setidaknya minta bantuannya. tapi statusnya sudah dalam proses pengiriman.,1
Aku mengaguminya.,0
Tidak bagus.,2
"Setiap kali dia lewat, steaknya enak, manis, murah, dan asli dengan lidah orang asing.",0
"Aku membeli Cymory di indidomaret, aku tidak tahu dia sudah terlambat tiga hari, dan ini kacau!",2
tidak ada bedanya semua orang harus berdoa kita harus membunuh mereka sebelum mereka membunuh kita,2
aku datang ke sini bersama istri dan anakku aku datang ke sini untuk melihat seorang kritikus di dalam dia berada di jalanan yang sedang dibelenggu tepat di sebelah ruang bermain atau tempat tidur dia sedang di homy.,0
"Ini romantis untuk memiliki pasangan, karena kebetulan saya ada di sini pada malam hari, tapi ada pemandangan di bawah sana, sayang sekali dia siap untuk membawa kamera. seragam server tampaknya harus diganti, saya pikir keamanan, ternyata ronde itu baik. kita juga memesan makanan, tapi tampaknya kita lupa untuk pergi ke dapur.",0
"Sulit bagi orang-orang primitif dari Tolikara Pa Capua, dan sekali lagi, shalatnya hancur.",2
"Dahulu, babi memanggil kepala ham, Natalia Pigai monyet hitam karena membela habibibi Riziq, dan sekarang, ketika terjadi serangan terhadap pharisam, babi-babi itu berubah menjadi burdo ham.",2
"Ini adalah partai paling korup, luar biasa.",2
"Tidak ada alasan untuk bingung dan ragu, bergabung dengan kami adalah pilihan yang tepat, dan akan ada banyak keuntungan.",0
"Aku seharusnya memberitahumu, tapi bagaimana kita bisa sampai ke Capua?",2
Preview by Jakarta for psi 18 Desember 2018,1
"Karena itu ada di atas, jadi tempat itu agak dingin dan pemandangannya menyenangkan pengunjung juga dapat menikmati galeri kayu dan foto-foto di sana tempat itu luas dan nyaman.",0
"Sayang sekali tidak ada jajak pendapat dari Jenny Sirgar yang begitu bahagia, Sayang, yang dipecat oleh kekalahan Jowowi dalam jajak pendapatny.",2
"Restoran ini menyediakan makanan sunda dengan iklim biasa. karena selama makan siang, orang-orang akan menunggu untuk makan di tempat ini.",0
Sampai mata melihat flash drive dalam yang terbaik.,0
"Ini pertama kalinya aku menggunakan nama BBC dan Concealer-nya, sejak lama, Donnetsly, ternyata aku jatuh cinta dengan klub ini krim dari empat beuty beefites ini, itu luar biasa.",0
"Jika Anda berada di sebuah kelompok dan Anda ingin mencoba tempat dengan berbagai macam makanan, Anda dapat mencoba untuk datang ke sini dengan banyak tempat yang tersedia, mungkin Anda tidak dapat memilih pilihan untuk makan: apa. harga selalu terjangkau jangan lupa untuk membawa payung jika hujan, jika tidak basah, jika tidak basah karena tidak cukup ruang untuk makan dan makan cukup jauh.",0
"Memilih sebuah restoran dengan menu yang tidak pantas dan Eropa dengan harga yang terjangkau dan bagian yang dipertaruhkan untuk beberapa saat, katakanlah, seminggu atau untuk membuka puasa, lebih baik datang lebih awal karena meja terbalik dengan jumlah konsumen yang akan datang.",0
"Rotinya sangat enak dan es krimnya sangat enak tempat di Braga Street dan tempat yang nyaman, sangat menyenangkan untuk berkencan dengan teman-teman dan rekan kerja.",0
"Untuk dewa sadis ini, Tuan Anies adalah pejabat negara dan tuan rumah, seorang penindas rezim sekarang.",2
"Memang benar bahwa dia tidak jauh dari apa namanya Curatif dan bahwa pemberhentian pertama saya adalah daging daging yang juga ada di sana di daerah kelapa jakarta, itu hanya bahwa tidak ada yang salah dengan pergi ke kelompok dan tidak melepaskannya di sini.",0
"Bagaimana kita bisa meninggalkan bangunan di atas sungai, di jalan Rshs mj pasar cinroyom cc aneh?",2
"Saya diundang ke sini oleh salah satu teman saya yang berada di Universitas Bandung, dan saya pertama-tama berpikir bahwa itu adalah seperti cabai rawit dekat satu per satu, ternyata itu adalah tempat yang sangat berbeda, di mana dia sangat strategis di dekat jalan. Dago dan sebuah menu yang cukup bersih. lingkungannya sangat nyaman, untuk duduk lama dan minum.",0
"Aku suka minuman di sini, di luar merah.",0
Api hutan menyebar.,1
"Sebuah pusat perbelanjaan penuh untuk menikmati keluarga, ada banyak pakaian, makanan, dan permainan skate.",0
Aku memesan pasta di Olo dan aku merasa seperti itu.,0
Takut.,2
"Film action, aku jamin kau tidak bosan.",0
"Ini adalah komik yang dibayar untuk urusan politik tahun 2019, bukan?",2
"Yang membuat sanpachi berbeda adalah ada menunya dengan daging babi karena tidak semua sanpachi menyediakan menu ini harga tidak murah, tapi itu layak untuk rasa dan suasana.",0
"Pilih es rum anggur jika Anda ingin merasakan panas dan bau Rum, sayangnya, itu mengandung alcohol, yang nyaman untuk duduk di meja makan.",0
"Aku terdaftar, tapi aku tak menerima pesan 5111.",1
"Sari Raos bersih dan nyaman, ia memiliki layanan yang baik, dan stafnya baik dengan sunda nya. makanan cukup halus dengan parfum sunda dengan rasa lezat dan harga yang terjangkau.",0
"Wi-Fi di sini selalu teror, makanan dan minuman keras sedikit mahal, kentang goreng yang sangat asin sekali, teh susu sedikit enak, sangat lama untuk memesan.",2
"Saya biasa mencoba makan banyak bento, pilihan bento cukup berbeda, dimulai dengan salmon, ayam, daging sapi.",0
"Pada sore hari dengan keluarga, suasananya nyaman dengan pemandangan udara segar.",0
"Untuk rasa dan variasi makanan, seperti biasa, dan banyak orang berada di hampir semua restoran sunda. suasananya cukup baik, itu dapat mengurangi waktu hari ini. ketika akhir pekan, tidak ada tempat untuk duduk dan tidak ada yang peduli tentang antriannya.",0
